geneID	tf_family	selection_tissue	selection_module	reference_genome	reference_annotation	peak_count_chr1_chr10	bound_gene_count
Sobic.001G039800	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	26027	16578
Sobic.001G055400	WRKY	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	7164	2378
Sobic.001G084000	WRKY	root	darkgrey	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	11003	4547
Sobic.001G219200	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	225	130
Sobic.001G296300	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	35190	19458
Sobic.001G298100	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	104800	19191
Sobic.001G389000	WRKY	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	9537	2309
Sobic.001G391500	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	44216	13873
Sobic.001G428700	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	40203	17052
Sobic.001G473900	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	69036	17554
Sobic.001G481300	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	72429	12339
Sobic.001G481400	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	7170	4097
Sobic.001G508400	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	6742	2431
Sobic.002G081300	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	78	50
Sobic.002G128400	WRKY	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	207	113
Sobic.002G139400	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	18857	12587
Sobic.002G141300	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	9857	3462
Sobic.002G174200	WRKY	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	100634	27010
Sobic.002G174300	WRKY	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	10180	2971
Sobic.002G196000	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	321	174
Sobic.002G196100	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	281	147
Sobic.002G202700	WRKY	shoot	turquoise	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	130222	20887
Sobic.002G202800	WRKY	shoot	turquoise	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	23376	5938
Sobic.002G209300	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	447	245
Sobic.002G260800	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	16010	11478
Sobic.002G269100	ERF	root	darkgrey	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	45575	9534
Sobic.002G269300	ERF	root	darkgrey	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	44805	10149
Sobic.002G269400	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	3858	1097
