geneID	clade_short	clade_full
Sobic.001G039800	A	ECA
Sobic.001G296300	A	ECA
Sobic.001G481300	A	ECA
Sobic.001G481400	A	ECA
Sobic.002G081300	A	ECA
Sobic.002G139400	A	ECA
Sobic.002G260800	A	ECA
Sobic.003G012800	A	ECA
Sobic.003G085600	A	ECA
Sobic.003G297600	A	ECA
Sobic.003G324400	A	ECA
Sobic.003G381400	A	ECA
Sobic.004G297100	A	ECA
Sobic.006G058732	A	ECA
Sobic.006G156100	A	ECA
Sobic.006G167800	A	ECA
Sobic.006G210300	A	ECA
Sobic.006G259000	A	ECA
Sobic.007G077001	A	ECA
Sobic.007G077100	A	ECA
Sobic.007G077200	A	ECA
Sobic.007G156700	A	ECA
Sobic.009G184400	A	ECA
Sobic.010G089700	A	ECA
Sobic.001G298100	B	ECB
Sobic.001G428700	B	ECB
Sobic.001G473900	B	ECB
Sobic.002G269100	B	ECB
Sobic.002G269300	B	ECB
Sobic.002G269400	B	ECB
Sobic.002G269500	B	ECB
Sobic.004G158901	B	ECB
Sobic.004G283201	B	ECB
Sobic.004G283300	B	ECB
Sobic.004G295500	B	ECB
Sobic.004G295600	B	ECB
Sobic.004G295700	B	ECB
Sobic.004G310600	B	ECB
Sobic.004G331300	B	ECB
Sobic.006G169900	B	ECB
Sobic.006G170100	B	ECB
Sobic.006G184700	B	ECB
Sobic.006G184800	B	ECB
Sobic.006G240500	B	ECB
Sobic.007G124100	B	ECB
Sobic.010G016500	B	ECB
Sobic.010G052600	B	ECB
Sobic.010G063900	B	ECB
Sobic.010G080400	B	ECB
