geneID	tf_family
Sobic.004G249500	CO-like
Sobic.004G256200	CO-like
Sobic.010G108500	CO-like
Sobic.010G123500	CO-like
Sobic.001G039800	ERF
Sobic.001G296300	ERF
Sobic.001G298100	ERF
Sobic.001G428700	ERF
Sobic.001G473900	ERF
Sobic.001G481300	ERF
Sobic.001G481400	ERF
Sobic.002G081300	ERF
Sobic.002G139400	ERF
Sobic.002G260800	ERF
Sobic.002G269100	ERF
Sobic.002G269300	ERF
Sobic.002G269400	ERF
Sobic.002G269500	ERF
Sobic.003G012800	ERF
Sobic.003G085600	ERF
Sobic.003G297600	ERF
Sobic.003G324400	ERF
Sobic.003G381400	ERF
Sobic.004G158901	ERF
Sobic.004G283201	ERF
Sobic.004G283300	ERF
Sobic.004G295500	ERF
Sobic.004G295600	ERF
Sobic.004G295700	ERF
Sobic.004G297100	ERF
Sobic.004G310600	ERF
Sobic.004G331300	ERF
Sobic.006G058732	ERF
Sobic.006G156100	ERF
Sobic.006G167800	ERF
Sobic.006G169900	ERF
Sobic.006G170100	ERF
Sobic.006G184700	ERF
Sobic.006G184800	ERF
Sobic.006G210300	ERF
Sobic.006G240500	ERF
Sobic.006G259000	ERF
Sobic.007G077001	ERF
Sobic.007G077100	ERF
Sobic.007G077200	ERF
Sobic.007G124100	ERF
Sobic.007G156700	ERF
Sobic.009G184400	ERF
Sobic.010G016500	ERF
Sobic.010G052600	ERF
Sobic.010G063900	ERF
Sobic.010G080400	ERF
Sobic.010G089700	ERF
Sobic.001G219200	MYB
Sobic.001G391500	MYB
Sobic.001G508400	MYB
Sobic.002G141300	MYB
Sobic.002G196000	MYB
Sobic.002G196100	MYB
Sobic.002G209300	MYB
Sobic.002G275500	MYB
Sobic.002G279100	MYB
Sobic.002G308400	MYB
Sobic.002G388700	MYB
Sobic.002G423300	MYB
Sobic.003G034500	MYB
Sobic.003G053200	MYB
Sobic.003G053300	MYB
Sobic.003G128900	MYB
Sobic.003G129000	MYB
Sobic.003G142300	MYB
Sobic.003G183800	MYB
Sobic.003G260300	MYB
Sobic.003G270300	MYB
Sobic.003G359800	MYB
Sobic.003G373000	MYB
Sobic.004G070900	MYB
Sobic.004G216900	MYB
Sobic.004G219800	MYB
Sobic.004G248700	MYB
Sobic.004G273800	MYB
Sobic.004G303600	MYB
Sobic.005G062000	MYB
Sobic.006G142000	MYB
Sobic.006G148000	MYB
Sobic.006G159100	MYB
Sobic.006G199800	MYB
Sobic.007G177100	MYB
Sobic.007G224800	MYB
Sobic.008G055700	MYB
Sobic.008G055800	MYB
Sobic.009G016633	MYB
Sobic.009G148100	MYB
Sobic.009G157500	MYB
Sobic.009G216900	MYB
Sobic.009G224500	MYB
Sobic.010G201388	MYB
Sobic.002G420700	NAC
Sobic.009G071500	NAC
Sobic.010G273700	NAC
Sobic.001G055400	WRKY
Sobic.001G084000	WRKY
Sobic.001G389000	WRKY
Sobic.002G128400	WRKY
Sobic.002G174200	WRKY
Sobic.002G174300	WRKY
Sobic.002G202700	WRKY
Sobic.002G202800	WRKY
Sobic.003G000600	WRKY
Sobic.003G037500	WRKY
Sobic.003G040800	WRKY
Sobic.003G138400	WRKY
Sobic.003G226600	WRKY
Sobic.003G242800	WRKY
Sobic.003G248400	WRKY
Sobic.003G285500	WRKY
Sobic.003G287200	WRKY
Sobic.003G296300	WRKY
Sobic.003G337900	WRKY
Sobic.003G341100	WRKY
Sobic.003G444000	WRKY
Sobic.004G065900	WRKY
Sobic.004G117600	WRKY
Sobic.004G138400	WRKY
Sobic.004G312200	WRKY
Sobic.005G013500	WRKY
Sobic.005G117400	WRKY
Sobic.006G115700	WRKY
Sobic.006G206000	WRKY
Sobic.007G085300	WRKY
Sobic.007G118301	WRKY
Sobic.008G029000	WRKY
Sobic.008G029200	WRKY
Sobic.009G068900	WRKY
Sobic.009G100500	WRKY
Sobic.009G171600	WRKY
Sobic.009G206800	WRKY
Sobic.009G212800	WRKY
Sobic.009G234100	WRKY
Sobic.010G148800	WRKY
Sobic.010G209100	WRKY
Sobic.010G209200	WRKY
